game_id,player_name,player_game_number,variant_name,number_of_suits,number_of_players,score,max_score,player_rating,change_in_player_rating,avg_team_rating
993816,Draku,1,No Variant,5,4,25,1,1210.2179204754,10.217920475399978,1200.0
993826,Draku,2,6 Suits,6,4,30,1,1219.727063849018,9.509143373618144,1207.6634403565502
993835,Draku,3,Prism (5 Suits),5,4,25,1,1233.7575875091684,14.030523660150266,1217.172583730168
993849,Draku,4,Prism (6 Suits),6,4,30,1,1247.4428275362927,13.685240027124337,1217.5099239461088
993867,Draku,5,No Variant,5,3,25,1,1256.640518307145,9.197690770852205,1227.0668050151537
993897,Draku,6,Rainbow (6 Suits),6,3,30,1,1269.4173726965744,12.776854389429444,1236.264495786006
993911,Draku,7,Pink (5 Suits),5,4,0,0,1248.0583640713078,-21.3590086252666,1231.5272260646589
993935,Draku,8,Pink (5 Suits),5,4,25,1,1268.07611858552,20.01775451421236,1217.4900722318416
993941,Draku,9,Muddy Rainbow (5 Suits),5,3,25,1,1285.2807886648463,17.204670079326206,1257.46256912098
993949,Draku,10,White (5 Suits),5,4,25,1,1296.6213748761977,11.340586211351363,1274.4700453225746
993959,Draku,11,Brown (5 Suits),5,4,25,1,1311.7754181052203,15.15404322902259,1285.810631533926
993970,Draku,12,Omni (5 Suits),5,4,25,1,1332.1200986296535,20.344680524433443,1300.9646747629486
993986,Draku,13,No Variant,5,4,25,1,1339.0324600941894,6.9123614645357065,1291.1299118738352
994014,Draku,14,6 Suits,6,3,30,1,1346.1766452745296,7.144185180340173,1279.1781513722074
994037,Draku,15,Rainbow (5 Suits),5,3,0,0,1315.9956679123595,-30.18097736216987,1286.3223365525475
994044,Draku,16,Rainbow (5 Suits),5,3,25,1,1327.7101469832874,11.71447907092761,1256.1413591903777
994057,Draku,17,Prism (5 Suits),5,3,25,1,1338.875916831902,11.165769848614673,1267.8558382613053
994066,Draku,18,Light Pink (5 Suits),5,3,25,1,1360.4214620098055,21.545545177903705,1279.02160810992
994194,Draku,19,Brown (6 Suits),6,4,30,1,1374.117040049784,13.695578039978272,1308.1335199822183
994227,Draku,20,Rainbow (6 Suits),6,4,30,1,1384.26260963734,10.14556958755611,1287.2459294913274
994234,Draku,21,Omni (5 Suits),5,3,25,1,1404.9820533760349,20.719443738694736,1284.2593459912132
994239,Draku,22,Pink (5 Suits),5,3,0,0,1378.966087373874,-26.01596600216089,1304.978789729908
994246,Draku,23,Pink (5 Suits),5,3,25,1,1394.8972580236543,15.93117064978037,1278.962823727747
